MES,PERIODO,fp_cavancha,fp_rapel
1,1,1.00000,1.00000
1,2,0.56670,1.00000
1,3,0.56670,1.00000
1,4,0.56670,1.00000
1,5,0.56670,1.00000
1,6,0.56670,1.00000
1,7,0.56670,1.00000
1,8,0.56670,1.00000
1,9,0.63330,1.00000
1,10,0.63330,1.00000
1,11,0.63330,1.00000
1,12,0.63330,1.00000
1,13,0.63330,1.00000
1,14,0.63330,1.00000
1,15,0.63330,1.00000
1,16,0.63330,1.00000
1,17,0.63330,1.00000
1,18,0.53330,1.00000
1,19,0.53330,1.00000
1,20,1.00000,1.00000
1,21,1.00000,1.00000
1,22,1.00000,1.00000
1,23,1.00000,1.00000
1,24,0.56670,1.00000